concept_set_id,name,concept_id,concept_code,concept_name,domain,vocabulary,standard_concept,valid_start_date,valid_end_date
3,autoimmune (minus graves),4048780,230679002,Abnormality of synaptic vesicles,Condition,SNOMED,S,2002-01-30,2099-12-30
3,autoimmune (minus graves),4292371,402427003,Accelerated rheumatoid nodulosis,Condition,SNOMED,S,2003-07-30,2099-12-30
3,autoimmune (minus graves),4297649,402428008,Accelerated rheumatoid nodulosis caused by methotrexate,Condition,SNOMED,S,2003-07-30,2099-12-30
3,autoimmune (minus graves),4043729,230671004,Acetylcholine resynthesis deficiency,Condition,SNOMED,S,2002-01-30,2099-12-30
3,autoimmune (minus graves),45766603,703802001,Acquired angioedema due to C1 inhibitor autoantibody,Condition,SNOMED,S,2014-07-30,2099-12-30
3,autoimmune (minus graves),4100661,2772003,Acquired epidermolysis bullosa,Condition,SNOMED,S,2002-01-30,2099-12-30
3,autoimmune (minus graves),4223490,402398001,Acute autoimmune urticaria,Condition,SNOMED,S,2003-07-30,2099-12-30
3,autoimmune (minus graves),3654666,838359008,Acute cutaneous lupus erythematosus,Condition,SNOMED,S,2020-07-30,2099-12-30
3,autoimmune (minus graves),374021,83942000,Acute disseminated encephalomyelitis,Condition,SNOMED,S,2002-01-30,2099-12-30
3,autoimmune (minus graves),43530701,182961000119101,Acute disseminated encephalomyelitis following infectious disease,Condition,SNOMED,S,2013-07-30,2099-12-30
3,autoimmune (minus graves),3192039,13830001000004109,Acute exacerbation of myasthenia gravis,Condition,Nebraska Lexicon,S,2016-01-27,2099-12-30
3,autoimmune (minus graves),4294427,402856005,Acute hemorrhagic edema of childhood,Condition,SNOMED,S,2003-07-30,2099-12-30
3,autoimmune (minus graves),4249574,72986009,Acute hemorrhagic leukoencephalitis,Condition,SNOMED,S,2002-01-30,2099-12-30
3,autoimmune (minus graves),37396786,716723000,Acute inflammatory demyelinating polyradiculoneuropathy,Condition,SNOMED,S,2016-07-30,2099-12-30
3,autoimmune (minus graves),37396086,715770009,Acute motor axonal neuropathy,Condition,SNOMED,S,2016-07-30,2099-12-30
3,autoimmune (minus graves),37396785,716722005,Acute motor sensory axonal neuropathy,Condition,SNOMED,S,2016-07-30,2099-12-30
3,autoimmune (minus graves),37204541,783244002,Acute pure sensory neuropathy,Condition,SNOMED,S,2019-07-30,2099-12-30
3,autoimmune (minus graves),607766,1155919006,Acute rheumatic aortitis,Condition,SNOMED,S,2021-07-30,2099-12-30
3,autoimmune (minus graves),4216531,81077008,Acute rheumatic arthritis,Condition,SNOMED,S,2002-01-30,2099-12-30
3,autoimmune (minus graves),606882,1148763004,Acute rheumatic carditis,Condition,SNOMED,S,2021-07-30,2099-12-30
3,autoimmune (minus graves),437897,18192007,Acute rheumatic endocarditis,Condition,SNOMED,S,2002-01-30,2099-12-30
3,autoimmune (minus graves),40394098,195528001,Acute rheumatic fever,Condition,SNOMED,S,2021-07-30,2099-12-30
3,autoimmune (minus graves),313500,312591002,Acute rheumatic heart disease,Condition,SNOMED,S,2002-01-30,2099-12-30
3,autoimmune (minus graves),321578,194709000,Acute rheumatic myocarditis,Condition,SNOMED,S,2002-01-30,2099-12-30
