concept_set_id,name,concept_id,concept_code,concept_name,domain,vocabulary,standard_concept,valid_start_date,valid_end_date
27,dx_covid,3661405,138389411000119105,Acute bronchitis caused by SARS-CoV-2,Condition,SNOMED,S,2020-07-30,2099-12-30
27,dx_covid,605554,1119302008,Acute COVID-19,Condition,SNOMED,S,2021-01-30,2099-12-30
27,dx_covid,3655976,870590002,Acute hypoxemic respiratory failure due to disease caused by Severe acute respiratory syndrome coronavirus 2,Condition,SNOMED,S,2020-07-30,2099-12-30
27,dx_covid,3661748,870589006,Acute kidney injury due to disease caused by Severe acute respiratory syndrome coronavirus 2,Condition,SNOMED,S,2020-07-30,2099-12-30
27,dx_covid,3661406,674814021000119106,Acute respiratory distress syndrome due to disease caused by Severe acute respiratory syndrome coronavirus 2,Condition,SNOMED,S,2020-07-30,2099-12-30
27,dx_covid,601870,471971000124108,Anxiety disorder due to severe acute respiratory syndrome coronavirus 2,Condition,SNOMED,S,2021-08-31,2099-12-30
27,dx_covid,3662381,189486241000119100,Asymptomatic SARS-CoV-2,Condition,SNOMED,S,2020-07-30,2099-12-30
27,dx_covid,42573165,354771000009107,Bovine coronoviral diarrhoea,Condition,SNOMED Veterinary,S,2014-01-30,2099-12-30
27,dx_covid,756031,OMOP4873909,Bronchitis caused by COVID-19,Condition,OMOP Extension,S,2020-03-17,2099-12-30
27,dx_covid,42599162,347471000009106,Canine coronaviral gastroenteritis,Condition,SNOMED Veterinary,S,2014-01-30,2099-12-30
27,dx_covid,3656667,119731000146105,Cardiomyopathy due to disease caused by Severe acute respiratory syndrome coronavirus 2,Condition,SNOMED,S,2020-07-30,2099-12-30
27,dx_covid,3656668,119741000146102,Conjunctivitis due to disease caused by Severe acute respiratory syndrome coronavirus 2,Condition,SNOMED,S,2020-07-30,2099-12-30
27,dx_covid,42572901,345591000009102,Coronaviral calf diarrhoea,Condition,SNOMED Veterinary,S,2014-01-30,2099-12-30
27,dx_covid,439676,186747009,Coronavirus infection,Condition,SNOMED,S,2002-01-30,2099-12-30
27,dx_covid,37311061,840539006,COVID-19,Condition,SNOMED,S,2020-01-30,2099-12-30
27,dx_covid,4100065,27619001,Disease due to Coronaviridae,Condition,SNOMED,S,2002-01-30,2099-12-30
27,dx_covid,3656669,119981000146107,Dyspnea caused by Severe acute respiratory syndrome coronavirus 2,Condition,SNOMED,S,2020-07-30,2099-12-30
27,dx_covid,42573163,354751000009101,Effusive feline infectious peritonitis,Condition,SNOMED Veterinary,S,2014-01-30,2099-12-30
27,dx_covid,37310284,1240561000000108,Encephalopathy due to disease caused by Severe acute respiratory syndrome coronavirus 2,Condition,SNOMED,S,2020-02-03,2099-12-30
