concept_set_id,name,concept_id,concept_code,concept_name,domain,vocabulary,standard_concept,valid_start_date,valid_end_date
44,dx_hypothyroidism,36717595,722940002,Acquired central hypothyroidism,Condition,SNOMED,S,2017-01-30,2099-12-30
44,dx_hypothyroidism,37161450,1179381000,Acquired central hypothyroidism due to Sheehan syndrome,Condition,SNOMED,S,2021-11-29,2099-12-30
44,dx_hypothyroidism,37161451,1179382007,Acquired central hypothyroidism due to pituitary disorder,Condition,SNOMED,S,2021-11-29,2099-12-30
44,dx_hypothyroidism,138384,111566002,Acquired hypothyroidism,Condition,SNOMED,S,2002-01-30,2099-12-30
44,dx_hypothyroidism,607903,1156181008,Adrenocorticotropic hormone resistance syndrome,Condition,SNOMED,S,2021-07-30,2099-12-30
44,dx_hypothyroidism,4184957,43507005,Adult myxedema,Condition,SNOMED,S,2002-01-30,2099-12-30
44,dx_hypothyroidism,45773358,702327009,Allan-Herndon-Dudley syndrome,Condition,SNOMED,S,2014-07-30,2099-12-30
44,dx_hypothyroidism,4185526,55838005,Athyrotic hypothyroidism sequence,Condition,SNOMED,S,2002-01-30,2099-12-30
44,dx_hypothyroidism,4034815,237519003,Autoimmune hypothyroidism,Condition,SNOMED,S,2002-01-30,2099-12-30
44,dx_hypothyroidism,36716385,722375007,Bamforth Lazarus syndrome,Condition,SNOMED,S,2017-01-30,2099-12-30
44,dx_hypothyroidism,4132435,26692000,Central hypothyroidism,Condition,SNOMED,S,2002-01-30,2099-12-30
44,dx_hypothyroidism,36716764,722938007,Congenital central hypothyroidism,Condition,SNOMED,S,2017-01-30,2099-12-30
44,dx_hypothyroidism,37110922,725462002,Congenital central hypothyroidism due to thyrotropin-releasing hormone receptor deficiency,Condition,SNOMED,S,2017-07-30,2099-12-30
44,dx_hypothyroidism,133728,190268003,Congenital hypothyroidism,Condition,SNOMED,S,2002-01-30,2099-12-30
44,dx_hypothyroidism,36713742,718690009,Congenital hypothyroidism due to absence of thyroid gland,Condition,SNOMED,S,2017-01-30,2099-12-30
44,dx_hypothyroidism,37155411,1179404005,Congenital hypothyroidism due to congenital anomaly of thyroid gland,Condition,SNOMED,S,2021-11-29,2099-12-30
44,dx_hypothyroidism,37161472,1179400001,Congenital hypothyroidism due to dual oxidase maturation factor 2,Condition,SNOMED,S,2021-11-29,2099-12-30
44,dx_hypothyroidism,36716765,722939004,Congenital hypothyroidism due to iodine deficiency,Condition,SNOMED,S,2017-01-30,2099-12-30
44,dx_hypothyroidism,37204507,783177006,Congenital hypothyroidism due to maternal intake of antithyroid drug,Condition,SNOMED,S,2019-07-30,2099-12-30
