concept_set_id,name,concept_id,concept_code,concept_name,domain,vocabulary,standard_concept,valid_start_date,valid_end_date
26,dx_T1DM,36715571,721283000,Acidosis due to type 1 diabetes mellitus,Condition,SNOMED,S,2017-01-30,2099-12-30
26,dx_T1DM,45769891,87471000119106,Ankle ulcer due to type 1 diabetes mellitus,Condition,SNOMED,S,2015-01-30,2099-12-30
26,dx_T1DM,37016767,712882000,Autonomic neuropathy due to type 1 diabetes mellitus,Condition,SNOMED,S,2016-01-30,2099-12-30
26,dx_T1DM,609098,16745411000119104,Bilateral mild nonproliferative retinopathy due to diabetes mellitus type 1,Condition,SNOMED,S,2021-01-30,2099-12-30
26,dx_T1DM,603320,16697521000119104,Bilateral moderate nonproliferative retinopathy due to diabetes mellitus type 1,Condition,SNOMED,S,2021-01-30,2099-12-30
26,dx_T1DM,609107,16746661000119106,Bilateral nonproliferative retinopathy of eyes due to diabetes mellitus type 1,Condition,SNOMED,S,2021-01-30,2099-12-30
26,dx_T1DM,609120,16749781000119101,Bilateral proliferative retinopathy of eyes due to diabetes mellitus type 1,Condition,SNOMED,S,2021-01-30,2099-12-30
26,dx_T1DM,609111,16747101000119101,Bilateral severe nonproliferative retinopathy of eyes due to diabetes mellitus type 1,Condition,SNOMED,S,2021-01-30,2099-12-30
26,dx_T1DM,45763585,60991000119100,Blindness due to type 1 diabetes mellitus,Condition,SNOMED,S,2015-01-30,2099-12-30
26,dx_T1DM,4225656,421920002,Cataract due to diabetes mellitus type 1,Condition,SNOMED,S,2006-07-30,2099-12-30
26,dx_T1DM,609070,368541000119101,Cheiroarthropathy due to diabetes mellitus type 1,Condition,SNOMED,S,2021-01-30,2099-12-30
26,dx_T1DM,45773688,96441000119101,Chronic kidney disease due to type 1 diabetes mellitus,Condition,SNOMED,S,2015-01-30,2099-12-30
26,dx_T1DM,45773576,90721000119101,Chronic kidney disease stage 1 due to type 1 diabetes mellitus,Condition,SNOMED,S,2015-01-30,2099-12-30
26,dx_T1DM,45769901,90731000119103,Chronic kidney disease stage 2 due to type 1 diabetes mellitus,Condition,SNOMED,S,2015-01-30,2099-12-30
26,dx_T1DM,45771075,90741000119107,Chronic kidney disease stage 3 due to type 1 diabetes mellitus,Condition,SNOMED,S,2015-01-30,2099-12-30
26,dx_T1DM,45769902,90751000119109,Chronic kidney disease stage 4 due to type 1 diabetes mellitus,Condition,SNOMED,S,2015-01-30,2099-12-30
26,dx_T1DM,45769903,90761000119106,Chronic kidney disease stage 5 due to type 1 diabetes mellitus,Condition,SNOMED,S,2015-01-30,2099-12-30
26,dx_T1DM,45769837,72141000119104,Chronic ulcer of skin due to type 1 diabetes mellitus,Condition,SNOMED,S,2015-01-30,2099-12-30
