concept_set_id,name,concept_id,concept_code,concept_name,domain,vocabulary,standard_concept,valid_start_date,valid_end_date
11,covid test,40218804,U0002,"2019-ncov coronavirus, sars-cov-2/2019-ncov (covid-19), any technique, multiple types or subtypes (includes all targets), non-cdc",Measurement,HCPCS,S,2020-02-03,2099-12-30
11,covid test,40218805,U0001,Cdc 2019 novel coronavirus (2019-ncov) real-time rt-pcr diagnostic panel,Measurement,HCPCS,S,2020-02-03,2099-12-30
11,covid test,700360,87635,"Infectious agent detection by nucleic acid (DNA or RNA); severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]), amplified probe technique",Measurement,CPT4,N,2020-03-12,2099-12-30
11,covid test,36033054,LG51046-7,SARS coronavirus 2 Ag|Presence or Threshold|Any Respiratory specimen,Measurement,LOINC,C,2020-12-14,2099-12-30
11,covid test,3031852,41458-1,SARS coronavirus RNA [Presence] in Specimen by NAA with probe detection,Measurement,LOINC,S,2005-06-21,2099-12-30
11,covid test,723477,94558-4,SARS-CoV-2 (COVID-19) Ag [Presence] in Respiratory system specimen by Rapid immunoassay,Measurement,LOINC,S,2020-03-23,2099-12-30
11,covid test,36032419,96119-3,SARS-CoV-2 (COVID-19) Ag [Presence] in Upper respiratory specimen by Immunoassay,Measurement,LOINC,S,2020-12-14,2099-12-30
11,covid test,36033641,97097-0,SARS-CoV-2 (COVID-19) Ag [Presence] in Upper respiratory specimen by Rapid immunoassay,Measurement,LOINC,S,2021-04-05,2099-12-30
11,covid test,36660801,LP418693-0,SARS-CoV-2 (COVID-19) Ag | Respiratory specimen | Microbiology,Measurement,LOINC,N,2020-06-16,2023-08-13
11,covid test,36032352,96094-8,SARS-CoV-2 (COVID-19) and SARS-related CoV RNA panel - Respiratory system specimen by NAA with probe detection,Measurement,LOINC,S,2020-12-14,2099-12-30
11,covid test,1617448,98080-5,SARS-CoV-2 (COVID-19) and SARS-related CoV RNA panel - Saliva (oral fluid) by NAA with probe detection,Measurement,LOINC,S,2021-08-22,2099-12-30
11,covid test,36033659,96764-6,SARS-CoV-2 (COVID-19) E gene [Cycle Threshold #] in Respiratory system specimen by NAA with probe detection,Measurement,LOINC,S,2021-02-01,2099-12-30
11,covid test,36033658,96763-8,SARS-CoV-2 (COVID-19) E gene [Presence] in Respiratory system specimen by NAA with probe detection,Measurement,LOINC,S,2021-02-01,2099-12-30
11,covid test,3964899,101721-9,SARS-CoV-2 (COVID-19) in Respiratory specimen by NAA with probe detection,Measurement,LOINC,S,2023-08-14,2099-12-30
11,covid test,1989163,100157-7,SARS-CoV-2 (COVID-19) lineage [Type] in Specimen by Sequencing,Measurement,LOINC,S,2022-02-15,2099-12-30
11,covid test,36033645,96957-6,SARS-CoV-2 (COVID-19) M gene [Presence] in Upper respiratory specimen by NAA with probe detection,Measurement,LOINC,S,2021-03-21,2099-12-30
11,covid test,36033648,96898-2,SARS-CoV-2 (COVID-19) N gene [Cycle Threshold #] in Oropharyngeal wash by NAA with probe detection,Measurement,LOINC,S,2021-03-10,2099-12-30
11,covid test,706167,94510-5,SARS-CoV-2 (COVID-19) N gene [Cycle Threshold #] in Specimen by NAA with probe detection,Measurement,LOINC,S,2020-03-08,2099-12-30
11,covid test,706157,94311-8,SARS-CoV-2 (COVID-19) N gene [Cycle Threshold #] in Specimen by Nucleic acid amplification using CDC primer-probe set N1,Measurement,LOINC,S,2020-01-30,2099-12-30
11,covid test,706155,94312-6,SARS-CoV-2 (COVID-19) N gene [Cycle Threshold #] in Specimen by Nucleic acid amplification using CDC primer-probe set N2,Measurement,LOINC,S,2020-01-30,2099-12-30
11,covid test,36661371,95522-9,SARS-CoV-2 (COVID-19) N gene [Log #/volume] (viral load) in Respiratory system specimen by NAA with probe detection,Measurement,LOINC,S,2020-07-25,2099-12-30
11,covid test,36660752,LP418702-9,SARS-CoV-2 (COVID-19) N gene | Nasopharynx | Microbiology,Measurement,LOINC,C,2020-06-16,2099-12-30
11,covid test,36660970,LP419179-9,SARS-CoV-2 (COVID-19) N gene | Nose | Microbiology,Measurement,LOINC,C,2020-06-16,2099-12-30
11,covid test,715272,94760-6,SARS-CoV-2 (COVID-19) N gene [Presence] in Nasopharynx by NAA with probe detection,Measurement,LOINC,S,2020-04-29,2099-12-30
11,covid test,36033644,96986-5,SARS-CoV-2 (COVID-19) N gene [Presence] in Nose by NAA with non-probe detection,Measurement,LOINC,S,2021-03-23,2099-12-30
11,covid test,757678,95409-9,SARS-CoV-2 (COVID-19) N gene [Presence] in Nose by NAA with probe detection,Measurement,LOINC,S,2020-06-03,2099-12-30
11,covid test,706161,94533-7,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by NAA with probe detection,Measurement,LOINC,S,2020-03-09,2099-12-30
11,covid test,586524,94756-4,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by Nucleic acid amplification using CDC primer-probe set N1,Measurement,LOINC,S,2020-04-29,2099-12-30
11,covid test,586525,94757-2,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory system specimen by Nucleic acid amplification using CDC primer-probe set N2,Measurement,LOINC,S,2020-04-29,2099-12-30
11,covid test,36661378,95425-5,SARS-CoV-2 (COVID-19) N gene [Presence] in Saliva (oral fluid) by NAA with probe detection,Measurement,LOINC,S,2020-06-25,2099-12-30
11,covid test,36032258,96448-6,SARS-CoV-2 (COVID-19) N gene [Presence] in Saliva (oral fluid) by Nucleic acid amplification using CDC primer-probe set N1,Measurement,LOINC,S,2020-12-14,2099-12-30
11,covid test,36033646,96958-4,SARS-CoV-2 (COVID-19) N gene [Presence] in Saliva (oral fluid) by Nucleic acid amplification using CDC primer-probe set N2,Measurement,LOINC,S,2021-03-21,2099-12-30
11,covid test,586520,94766-3,SARS-CoV-2 (COVID-19) N gene [Presence] in Serum or Plasma by NAA with probe detection,Measurement,LOINC,S,2020-04-30,2099-12-30
11,covid test,706175,94316-7,SARS-CoV-2 (COVID-19) N gene [Presence] in Specimen by NAA with probe detection,Measurement,LOINC,S,2020-01-30,2099-12-30
11,covid test,706156,94307-6,SARS-CoV-2 (COVID-19) N gene [Presence] in Specimen by Nucleic acid amplification using CDC primer-probe set N1,Measurement,LOINC,S,2020-01-30,2099-12-30
11,covid test,706154,94308-4,SARS-CoV-2 (COVID-19) N gene [Presence] in Specimen by Nucleic acid amplification using CDC primer-probe set N2,Measurement,LOINC,S,2020-01-30,2099-12-30
11,covid test,36661286,LP418703-7,SARS-CoV-2 (COVID-19) N gene | Respiratory specimen | Microbiology,Measurement,LOINC,N,2020-06-16,2023-08-13
11,covid test,36660882,LP418704-5,SARS-CoV-2 (COVID-19) N gene | Serum or Plasma | Microbiology,Measurement,LOINC,C,2020-06-16,2099-12-30
11,covid test,36661370,95521-1,SARS-CoV-2 (COVID-19) N gene [#/volume] (viral load) in Respiratory system specimen by NAA with probe detection,Measurement,LOINC,S,2020-07-25,2099-12-30
11,covid test,36660800,LP418705-2,SARS-CoV-2 (COVID-19) N gene | XXX | Microbiology,Measurement,LOINC,C,2020-06-16,2099-12-30
11,covid test,36033642,97098-8,SARS-CoV-2 (COVID-19) Nsp2 gene [Presence] in Upper respiratory specimen by NAA with probe detection,Measurement,LOINC,S,2021-04-05,2099-12-30
11,covid test,36033649,96899-0,SARS-CoV-2 (COVID-19) ORF1ab region [Cycle Threshold #] in Oropharyngeal wash by NAA with probe detection,Measurement,LOINC,S,2021-03-10,2099-12-30
11,covid test,723469,94644-2,SARS-CoV-2 (COVID-19) ORF1ab region [Cycle Threshold #] in Respiratory system specimen by NAA with probe detection,Measurement,LOINC,S,2020-04-01,2099-12-30
11,covid test,706168,94511-3,SARS-CoV-2 (COVID-19) ORF1ab region [Cycle Threshold #] in Specimen by NAA with probe detection,Measurement,LOINC,S,2020-03-08,2099-12-30
