concept_set_id,name,concept_id,concept_code,concept_name,domain,vocabulary,standard_concept,valid_start_date,valid_end_date
7,carbimazole,35787841,OMOP2789302,150 ML Carbimazole 2 MG/ML Oral Solution,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,35788023,OMOP2789484,150 ML Carbimazole 2 MG/ML Oral Solution by Drug Tariff Special Order,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21137987,OMOP326097,150 ML Carbimazole 2 MG/ML Oral Suspension,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,35787932,OMOP2789393,150 ML Carbimazole 2 MG/ML Oral Suspension by Drug Tariff Special Order,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21126505,OMOP298428,1 ML Carbimazole 0.25 MG/ML Oral Solution,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21048103,OMOP298430,1 ML Carbimazole 0.25 MG/ML Oral Suspension,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21038271,OMOP298445,1 ML Carbimazole 0.3 MG/ML Oral Solution,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21116733,OMOP298447,1 ML Carbimazole 0.3 MG/ML Oral Suspension,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21146235,OMOP298437,1 ML Carbimazole 0.4 MG/ML Oral Solution,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21116732,OMOP298439,1 ML Carbimazole 0.4 MG/ML Oral Suspension,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21087341,OMOP298432,1 ML Carbimazole 0.5 MG/ML Oral Solution,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21146234,OMOP298435,1 ML Carbimazole 0.5 MG/ML Oral Suspension,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21067769,OMOP298441,1 ML Carbimazole 0.8 MG/ML Oral Solution,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21067770,OMOP298443,1 ML Carbimazole 0.8 MG/ML Oral Suspension,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21156206,OMOP298456,1 ML Carbimazole 12 MG/ML Oral Solution,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21116735,OMOP298458,1 ML Carbimazole 12 MG/ML Oral Suspension,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21048105,OMOP298460,1 ML Carbimazole 1 MG/ML Oral Solution,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21067771,OMOP298462,1 ML Carbimazole 1 MG/ML Oral Suspension,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
7,carbimazole,21048104,OMOP298449,1 ML Carbimazole 2 MG/ML Oral Solution,Drug,RxNorm Extension,S,2017-08-23,2099-12-30
