"concept_set_id","name","concept_id","concept_code","concept_name","domain","vocabulary","standard_concept","valid_start_date","valid_end_date"
5,"methimazole",43733982,"OMOP729222","1 ML Methimazole 40 MG/ML Injectable Solution","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43787787,"OMOP729226","1 ML Methimazole 40 MG/ML Injectable Solution Box of 10","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43860249,"OMOP729228","1 ML Methimazole 40 MG/ML Injectable Solution Box of 10 by Sanofi","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",41328819,"OMOP2526781","1 ML Methimazole 40 MG/ML Injectable Solution Box of 250","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43607937,"OMOP729224","1 ML Methimazole 40 MG/ML Injectable Solution Box of 5","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",41333505,"OMOP2531467","1 ML Methimazole 40 MG/ML Injectable Solution Box of 50","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43698102,"OMOP729225","1 ML Methimazole 40 MG/ML Injectable Solution Box of 5 by Sanofi","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",41332821,"OMOP2530783","1 ML Methimazole 40 MG/ML Injectable Solution Box of 60","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43589958,"OMOP729223","1 ML Methimazole 40 MG/ML Injectable Solution by Sanofi","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43733983,"OMOP729229","1 ML Methimazole 40 MG/ML Injectable Solution [Favistan]","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43715888,"OMOP729231","1 ML Methimazole 40 MG/ML Injectable Solution [Favistan] Box of 10","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43733984,"OMOP729232","1 ML Methimazole 40 MG/ML Injectable Solution [Favistan] Box of 10 by Temmler","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",41335758,"OMOP2533720","1 ML Methimazole 40 MG/ML Injectable Solution [Favistan] Box of 250","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",41333031,"OMOP2530993","1 ML Methimazole 40 MG/ML Injectable Solution [Favistan] Box of 50","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",41337059,"OMOP2535021","1 ML Methimazole 40 MG/ML Injectable Solution [Favistan] Box of 60","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43644171,"OMOP729230","1 ML Methimazole 40 MG/ML Injectable Solution [Favistan] by Temmler","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",36232063,"1176617","Felimazole Oral Product","Drug","RxNorm","C","2016-07-31","2099-12-30"
5,"methimazole",36232064,"1176618","Felimazole Pill","Drug","RxNorm","C","2016-07-31","2099-12-30"
5,"methimazole",1504620,"6835","methimazole","Drug","RxNorm","S","1969-12-31","2099-12-30"
5,"methimazole",19102066,"393487","methimazole 0.5 MG","Drug","RxNorm","S","1969-12-31","2099-12-30"
5,"methimazole",19101806,"391979","methimazole 0.5 MG Oral Tablet","Drug","RxNorm","S","1969-12-31","2099-12-30"
5,"methimazole",1504675,"316269","methimazole 10 MG","Drug","RxNorm","S","1969-12-31","2099-12-30"
5,"methimazole",43167411,"OMOP443121","Methimazole 10 MG Delayed Release Oral Tablet","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",41052013,"OMOP2249975","Methimazole 10 MG Delayed Release Oral Tablet Box of 100","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",41301730,"OMOP2499692","Methimazole 10 MG Delayed Release Oral Tablet Box of 20","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43189378,"OMOP443122","Methimazole 10 MG Delayed Release Oral Tablet Box of 30","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",40834003,"OMOP2031965","Methimazole 10 MG Delayed Release Oral Tablet Box of 50","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43134359,"OMOP443123","Methimazole 10 MG Delayed Release Oral Tablet [THYROZOL]","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",40870922,"OMOP2068884","Methimazole 10 MG Delayed Release Oral Tablet [THYROZOL] Box of 100","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",41245511,"OMOP2443473","Methimazole 10 MG Delayed Release Oral Tablet [THYROZOL] Box of 20","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43189379,"OMOP443124","Methimazole 10 MG Delayed Release Oral Tablet [THYROZOL] Box of 30","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43156467,"OMOP443125","Methimazole 10 MG Delayed Release Oral Tablet [THYROZOL] Box of 30 by Merck","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",40870923,"OMOP2068885","Methimazole 10 MG Delayed Release Oral Tablet [THYROZOL] Box of 50","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",35149188,"OMOP4806246","Methimazole 10 MG Injectable Solution","Drug","RxNorm Extension","S","2019-03-10","2099-12-30"
5,"methimazole",35146780,"OMOP4803856","Methimazole 10 MG Injectable Solution [Mercazole]","Drug","RxNorm Extension","S","2019-03-10","2099-12-30"
5,"methimazole",35136342,"OMOP4793521","Methimazole 10 MG [Mercazole]","Drug","RxNorm Extension","S","2019-03-10","2099-12-30"
5,"methimazole",2057402,"OMOP4958274","methimazole 10 MG [METIZOL]","Drug","RxNorm Extension","S","2020-07-30","2099-12-30"
5,"methimazole",19015766,"729437","methimazole 10 MG [Northyx]","Drug","RxNorm","S","2007-09-29","2099-12-30"
5,"methimazole",1504621,"197941","methimazole 10 MG Oral Tablet","Drug","RxNorm","S","1969-12-31","2099-12-30"
5,"methimazole",41114809,"OMOP2312771","Methimazole 10 MG Oral Tablet Box of 100","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",40927310,"OMOP2125272","Methimazole 10 MG Oral Tablet Box of 20","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",41146422,"OMOP2344384","Methimazole 10 MG Oral Tablet Box of 50","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43782001,"OMOP928013","Methimazole 10 MG Oral Tablet by Hexal","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",2057400,"OMOP4958272","methimazole 10 MG Oral Tablet [METIZOL]","Drug","RxNorm Extension","S","2020-07-30","2099-12-30"
5,"methimazole",2057401,"OMOP4958273","methimazole 10 MG Oral Tablet [METIZOL] by Dalim Biotech","Drug","RxNorm Extension","S","2020-07-30","2099-12-30"
5,"methimazole",1504713,"729438","methimazole 10 MG Oral Tablet [Northyx]","Drug","RxNorm","S","2007-09-29","2099-12-30"
5,"methimazole",35866495,"OMOP5021796","methimazole 10 MG Oral Tablet [Saizhi]","Drug","RxNorm Extension","S","2020-10-01","2099-12-30"
5,"methimazole",36262474,"OMOP3113349","Methimazole 10 MG Oral Tablet [Strumazol]","Drug","RxNorm Extension","S","2017-09-30","2099-12-30"
5,"methimazole",36262473,"OMOP3113348","Methimazole 10 MG Oral Tablet [Strumazol] Box of 100","Drug","RxNorm Extension","S","2017-09-30","2099-12-30"
5,"methimazole",36276310,"OMOP3127185","Methimazole 10 MG Oral Tablet [Strumazol] Box of 100 by Takeda","Drug","RxNorm Extension","S","2017-09-30","2099-12-30"
5,"methimazole",19034267,"207012","methimazole 10 MG Oral Tablet [Tapazole]","Drug","RxNorm","S","1969-12-31","2099-12-30"
5,"methimazole",44062127,"OMOP1056758","Methimazole 10 MG Oral Tablet [Tapazole] by Paladin","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",43728040,"OMOP928014","Methimazole 10 MG Oral Tablet [Thiamazol Aristo]","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
5,"methimazole",40933112,"OMOP2131074","Methimazole 10 MG Oral Tablet [Thiamazol Aristo] Box of 100","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
