"concept_set_id","name","concept_id","concept_code","concept_name","domain","vocabulary","standard_concept","valid_start_date","valid_end_date"
6,"propylthiouracil",35786388,"OMOP2787849","100 ML Propylthiouracil 10 MG/ML Oral Solution","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21039740,"OMOP322541","100 ML Propylthiouracil 10 MG/ML Oral Suspension","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21096991,"OMOP295316","1 ML Propylthiouracil 10 MG/ML Oral Solution","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21096992,"OMOP295318","1 ML Propylthiouracil 10 MG/ML Oral Suspension","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21028316,"OMOP295336","1 ML Propylthiouracil 20 MG/ML Oral Solution","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21087198,"OMOP295338","1 ML Propylthiouracil 20 MG/ML Oral Suspension","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21096993,"OMOP295333","1 ML Propylthiouracil 30 MG/ML Oral Suspension","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21028314,"OMOP295320","1 ML Propylthiouracil 40 MG/ML Oral Solution","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21047955,"OMOP295322","1 ML Propylthiouracil 40 MG/ML Oral Suspension","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21146078,"OMOP295325","1 ML Propylthiouracil 4 MG/ML Oral Solution","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21067595,"OMOP295327","1 ML Propylthiouracil 4 MG/ML Oral Suspension","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21136212,"OMOP295329","1 ML Propylthiouracil 5 MG/ML Oral Solution","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21077481,"OMOP295331","1 ML Propylthiouracil 5 MG/ML Oral Suspension","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",1554072,"8794","propylthiouracil","Drug","RxNorm","S","1969-12-31","2099-12-30"
6,"propylthiouracil",19090700,"334103","propylthiouracil 100 MG","Drug","RxNorm","S","1969-12-31","2099-12-30"
6,"propylthiouracil",1554074,"245269","propylthiouracil 100 MG Oral Tablet","Drug","RxNorm","S","1969-12-31","2099-12-30"
6,"propylthiouracil",41209316,"OMOP2407278","Propylthiouracil 100 MG Oral Tablet Box of 20","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",40834453,"OMOP2032415","Propylthiouracil 100 MG Oral Tablet Box of 250","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",36943935,"OMOP5197063","propylthiouracil 100 MG Oral Tablet Box of 56","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",36928149,"OMOP5197065","propylthiouracil 100 MG Oral Tablet Box of 56 by A A H","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",36929897,"OMOP5197064","propylthiouracil 100 MG Oral Tablet Box of 56 by Alliance","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",36947049,"OMOP5197067","propylthiouracil 100 MG Oral Tablet Box of 56 by Macleods","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",36942219,"OMOP5197066","propylthiouracil 100 MG Oral Tablet Box of 56 by Morningside","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",36926878,"OMOP5197060","propylthiouracil 100 MG Oral Tablet by A A H","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",36957182,"OMOP5197059","propylthiouracil 100 MG Oral Tablet by Alliance","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",36920622,"OMOP5197062","propylthiouracil 100 MG Oral Tablet by Macleods","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",36951572,"OMOP5197061","propylthiouracil 100 MG Oral Tablet by Morningside","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",44098650,"OMOP1093281","Propylthiouracil 100 MG Oral Tablet [Propyl-Thyracil]","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",44062578,"OMOP1057209","Propylthiouracil 100 MG Oral Tablet [Propyl-Thyracil] by Paladin","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",2054705,"OMOP4955460","propylthiouracil 100 MG Oral Tablet [PRORACIL]","Drug","RxNorm Extension","S","2020-07-30","2099-12-30"
6,"propylthiouracil",2054706,"OMOP4955461","propylthiouracil 100 MG Oral Tablet [PRORACIL] by Dalim Biotech","Drug","RxNorm Extension","S","2020-07-30","2099-12-30"
6,"propylthiouracil",40903342,"OMOP2101304","Propylthiouracil 100 MG Oral Tablet [Thyreostat]","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",40934576,"OMOP2132538","Propylthiouracil 100 MG Oral Tablet [Thyreostat] Box of 20","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",41308995,"OMOP2506957","Propylthiouracil 100 MG Oral Tablet [Thyreostat] Box of 250","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",44040970,"OMOP1035601","Propylthiouracil 100 MG [Propyl-Thyracil]","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",2054707,"OMOP4955462","propylthiouracil 100 MG [PRORACIL]","Drug","RxNorm Extension","S","2020-07-30","2099-12-30"
6,"propylthiouracil",40749162,"OMOP4708530","Propylthiouracil 100 MG Rectal Suppository","Drug","RxNorm Extension","S","2018-06-03","2099-12-30"
6,"propylthiouracil",40749161,"OMOP4708531","Propylthiouracil 100 MG Rectal Suppository Box of 1","Drug","RxNorm Extension","S","2018-06-03","2099-12-30"
6,"propylthiouracil",40952780,"OMOP2150742","Propylthiouracil 100 MG [Thyreostat]","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21044135,"OMOP388892","Propylthiouracil 10 MG/ML","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21132311,"OMOP388893","Propylthiouracil 10 MG/ML Oral Solution","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21073668,"OMOP388895","Propylthiouracil 10 MG/ML Oral Suspension","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",19111624,"451106","propylthiouracil 200 MG","Drug","RxNorm","S","1969-12-31","2099-12-30"
6,"propylthiouracil",19106672,"429261","propylthiouracil 200 MG Oral Tablet","Drug","RxNorm","S","1969-12-31","2099-12-30"
6,"propylthiouracil",21024516,"OMOP388917","Propylthiouracil 20 MG/ML","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21063756,"OMOP388918","Propylthiouracil 20 MG/ML Oral Solution","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",21034221,"OMOP388920","Propylthiouracil 20 MG/ML Oral Suspension","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",19111625,"451109","propylthiouracil 25 MG","Drug","RxNorm","S","1969-12-31","2099-12-30"
6,"propylthiouracil",19106673,"429262","propylthiouracil 25 MG Oral Tablet","Drug","RxNorm","S","1969-12-31","2099-12-30"
6,"propylthiouracil",40896758,"OMOP2094720","Propylthiouracil 25 MG Oral Tablet Box of 100","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",41209315,"OMOP2407277","Propylthiouracil 25 MG Oral Tablet Box of 20","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",41271135,"OMOP2469097","Propylthiouracil 25 MG Oral Tablet Box of 250","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",36962931,"OMOP5197049","propylthiouracil 25 MG Oral Tablet Box of 28","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",36925161,"OMOP5197051","propylthiouracil 25 MG Oral Tablet Box of 28 by A A H","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",36953514,"OMOP5197050","propylthiouracil 25 MG Oral Tablet Box of 28 by Alliance","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",36930790,"OMOP5197052","propylthiouracil 25 MG Oral Tablet Box of 28 by Macleods","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",40927761,"OMOP2125723","Propylthiouracil 25 MG Oral Tablet Box of 40","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",40834452,"OMOP2032414","Propylthiouracil 25 MG Oral Tablet Box of 50","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",36928423,"OMOP5197047","propylthiouracil 25 MG Oral Tablet by A A H","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",36967110,"OMOP5197046","propylthiouracil 25 MG Oral Tablet by Alliance","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",36949750,"OMOP5197048","propylthiouracil 25 MG Oral Tablet by Macleods","Drug","RxNorm Extension","S","2023-05-21","2099-12-30"
6,"propylthiouracil",41308994,"OMOP2506956","Propylthiouracil 25 MG Oral Tablet [Thyreostat]","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",41246932,"OMOP2444894","Propylthiouracil 25 MG Oral Tablet [Thyreostat] Box of 100","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",41227149,"OMOP2425111","Propylthiouracil 25 MG Oral Tablet [Thyreostat] Box of 100 by Berlin-Chemie","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",41102044,"OMOP2300006","Propylthiouracil 25 MG Oral Tablet [Thyreostat] Box of 100 by Riemser","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",40997036,"OMOP2194998","Propylthiouracil 25 MG Oral Tablet [Thyreostat] Box of 20","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",41320404,"OMOP2518366","Propylthiouracil 25 MG Oral Tablet [Thyreostat] Box of 20 by Riemser","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",41277771,"OMOP2475733","Propylthiouracil 25 MG Oral Tablet [Thyreostat] Box of 250","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",41153578,"OMOP2351540","Propylthiouracil 25 MG Oral Tablet [Thyreostat] Box of 40","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",41308993,"OMOP2506955","Propylthiouracil 25 MG Oral Tablet [Thyreostat] Box of 50","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
6,"propylthiouracil",40821899,"OMOP2019861","Propylthiouracil 25 MG Oral Tablet [Thyreostat] Box of 50 by Berlin-Chemie","Drug","RxNorm Extension","S","2017-08-23","2099-12-30"
